"Salgspris"	"Dato"	"Kvadratmeterpris"	"AntalVarelser"	"Postnummer"	"Hustype"	"Kvadratmeter"	"Byggeaar"	"Prisreduktion"
3760000	2011-11-18	24102	5	2720	"Hus"	156	1939	5.66037735849058
4300000	2011-11-13	30714	6	2720	"Hus"	140	1931	7.40740740740742
3800000	2011-11-06	30400	6	2720	"Hus"	125	1952	4.76190476190477
2100000	2011-11-04	21000	4	2720	"Hus"	100	1933	8.25688073394496
3874000	2011-11-03	27671	6	2720	"Hus"	140	1930	2.9126213592233
2925000	2011-10-19	29250	4	2720	"Hus"	100	1935	10.7142857142857
1700000	2011-10-13	12977	4	2720	"Hus"	131	1930	9.90990990990992
3435000	2011-10-12	26835	6	2720	"Hus"	128	1968	4.76190476190477
3250000	2011-10-11	30092	6	2720	"Hus"	108	1933	6.54205607476636
1075000	2011-10-07	8269	4	2720	"Hus"	130	1926	0
3500000	2011-09-18	26119	5	2720	"Hus"	134	1967	12.280701754386
3850000	2011-09-16	35981	5	2720	"Hus"	107	1938	2.9126213592233
5e+06	2011-09-15	36764	5	2720	"Hus"	136	1925	4.76190476190477
3700000	2011-09-05	29133	6	2720	"Hus"	127	1938	0.990099009900991
2998000	2011-09-05	17034	5	2720	"Hus"	176	1926	0
4475000	2011-08-31	34423	5	2720	"Hus"	130	1925	0
3300000	2011-08-24	38823	3	2720	"Hus"	85	1934	4.76190476190477
3300000	2011-08-22	28448	6	2720	"Hus"	116	1935	7.40740740740742
3560000	2011-08-17	30169	5	2720	"Hus"	118	1952	7.40740740740742
2505000	2011-08-02	43947	3	2720	"Hus"	57	1937	0
4700000	2011-07-15	35338	5	2720	"Hus"	133	1957	5.66037735849058
1475000	2011-07-07	17352	4	2720	"Hus"	85	1931	15.2542372881356
540000	2011-07-01	8571	3	2720	"Hus"	63	1936	0
3125000	2011-06-30	24038	4	2720	"Hus"	130	1929	18.6991869918699
3865000	2011-06-23	30433	5	2720	"Hus"	127	1970	2.9126213592233
3850000	2011-06-22	26369	5	2720	"Hus"	146	1931	0
3325000	2011-06-20	34635	3	2720	"Hus"	96	1934	4.76190476190477
2300000	2011-06-17	24468	4	2720	"Hus"	94	1927	14.5299145299145
3575000	2011-06-10	34375	5	2720	"Hus"	104	1928	0
3095000	2011-06-01	34388	3	2720	"Hus"	90	1936	0
3595000	2011-06-01	38244	4	2720	"Hus"	94	1924	1.96078431372549
4735000	2011-05-23	29409	6	2720	"Hus"	161	1924	4.76190476190477
5350000	2011-05-19	37412	6	2720	"Hus"	143	1929	0
2950000	2011-05-19	24180	5	2720	"Hus"	122	1928	0.990099009900991
5075000	2011-05-17	32324	4	2720	"Hus"	157	1936	9.09090909090909
4675000	2011-05-08	28162	6	2720	"Hus"	166	1936	3.84615384615385
5700000	2011-04-27	32386	8	2720	"Hus"	176	1947	4.76190476190477
3925000	2011-04-20	32172	4	2720	"Hus"	122	1946	6.54205607476636
2782953	2011-04-17	15812	5	2720	"Hus"	176	2012	6.54205607476636
2400000	2011-04-12	15483	7	2720	"Hus"	155	1953	0
5650000	2011-04-01	35987	7	2720	"Hus"	157	1921	9.09090909090909
3700000	2011-03-29	30081	5	2720	"Hus"	123	1910	0
3700000	2011-03-29	25517	7	2720	"Hus"	145	1910	0
2800000	2011-03-26	19444	5	2720	"Hus"	144	1937	15.9663865546218
2543750	2011-03-23	16411	5	2720	"Hus"	155	1926	14.5299145299145
4650000	2011-03-18	29430	5	2720	"Hus"	158	1932	6.54205607476636
3375000	2011-03-18	27000	5	2720	"Hus"	125	1934	2.9126213592233
4600000	2011-03-17	31506	5	2720	"Hus"	146	1969	15.9663865546218
3800000	2011-03-06	26206	5	2720	"Hus"	145	1934	9.09090909090909
4775000	2011-03-03	29115	7	2720	"Hus"	164	1931	3.84615384615385
4650000	2011-02-22	32978	5	2720	"Hus"	141	1932	0
3e+06	2011-02-14	22900	5	2720	"Hus"	131	1930	7.40740740740742
3175000	2011-02-10	32731	4	2720	"Hus"	97	1931	5.66037735849058
4900000	2011-02-04	29878	5	2720	"Hus"	164	1922	6.54205607476636
3485000	2011-01-23	30840	5	2720	"Hus"	113	1928	2.9126213592233
2050000	2011-01-21	27333	4	2720	"Hus"	75	1933	0
2e+06	2011-01-16	21505	4	2720	"Hus"	93	1938	0
2100000	2011-01-07	15217	6	2720	"Hus"	138	1925	8.25688073394496
3100000	2012-10-11	24603	5	2610	"Hus"	126	1930	10.7142857142857
2625000	2012-10-04	21875	4	2610	"Hus"	120	1986	0
1225000	2012-09-20	11342	3	2610	"Hus"	108	1939	0
3495000	2012-09-19	28185	4	2610	"Hus"	124	1950	0
3400000	2012-09-18	26984	4	2610	"Hus"	126	1928	4.76190476190477
1700000	2012-09-16	21794	3	2610	"Hus"	78	1954	9.09090909090909
2750000	2012-09-10	21484	4	2610	"Hus"	128	1938	7.40740740740742
1650000	2012-09-06	24264	3	2610	"Hus"	68	1939	7.40740740740742
3495000	2012-09-06	24787	4	2610	"Hus"	141	1931	0
3100000	2012-09-05	23846	4	2610	"Hus"	130	1967	2.9126213592233
1900000	2012-09-04	22891	4	2610	"Hus"	83	1954	4.76190476190477
2995000	2012-08-28	18151	5	2610	"Hus"	165	1964	0
2150000	2012-08-27	14625	5	2610	"Hus"	147	1954	8.25688073394496
1500000	2012-08-22	17045	4	2610	"Hus"	88	1961	9.09090909090909
2e+06	2012-08-21	16393	4	2610	"Hus"	122	1952	3.84615384615385
2649000	2012-08-15	15767	5	2610	"Hus"	168	1927	2.9126213592233
1850000	2012-08-06	18500	4	2610	"Hus"	100	1960	13.7931034482759
2400000	2012-08-03	18461	6	2610	"Hus"	130	1933	2.9126213592233
2250000	2012-07-27	29605	4	2610	"Hus"	76	1933	0
2100000	2012-07-18	21875	4	2610	"Hus"	96	1961	1.96078431372549
2500000	2012-07-17	12626	7	2610	"Hus"	198	1959	9.90990990990992
1460000	2012-07-06	13773	4	2610	"Hus"	106	1951	31.9727891156463
2800000	2012-07-06	19178	5	2610	"Hus"	146	1934	5.66037735849058
2750000	2012-07-05	27500	5	2610	"Hus"	100	1933	0
2125000	2012-07-04	22135	4	2610	"Hus"	96	1944	2.9126213592233
2500000	2012-07-04	19841	6	2610	"Hus"	126	1953	6.54205607476636
2995000	2012-07-03	24349	4	2610	"Hus"	123	1931	0
2650000	2012-07-02	24090	4	2610	"Hus"	110	1956	4.76190476190477
2e+06	2012-06-29	19607	4	2610	"Hus"	102	1956	6.54205607476636
3700000	2012-06-27	23870	9	2610	"Hus"	155	1935	3.84615384615385
2850000	2012-06-26	29687	4	2610	"Hus"	96	1960	4.76190476190477
3850000	2012-06-26	22254	5	2610	"Hus"	173	1972	0
1345000	2012-06-21	12688	4	2610	"Hus"	106	1954	0
1740000	2012-06-21	16893	5	2610	"Hus"	103	1933	5.66037735849058
2250000	2012-06-15	29605	3	2610	"Hus"	76	1955	5.66037735849058
2200000	2012-06-12	14965	5	2610	"Hus"	147	1954	10.7142857142857
3e+06	2012-06-12	24590	6	2610	"Hus"	122	1904	5.66037735849058
2110000	2012-06-08	13525	5	2610	"Hus"	156	1937	3.84615384615385
3595000	2012-06-07	21526	5	2610	"Hus"	167	1943	0
1995000	2012-06-07	13211	5	2610	"Hus"	151	1970	0
1800000	2012-06-07	13636	5	2610	"Hus"	132	1961	9.09090909090909
2395000	2012-06-06	16182	4	2610	"Hus"	148	1962	0
1700000	2012-06-05	15044	4	2610	"Hus"	113	1963	9.90990990990992
1550000	2012-06-04	15979	3	2610	"Hus"	97	1936	25.9259259259259
1550000	2012-06-04	16847	3	2610	"Hus"	92	1958	1.96078431372549
2400000	2012-06-04	22222	5	2610	"Hus"	108	1940	7.40740740740742
2995000	2012-05-31	22185	6	2610	"Hus"	135	1952	0
1700000	2012-05-20	22666	4	2610	"Hus"	75	1932	4.76190476190477
