"AntalVarelser"	"Udbudspris"	"NetPrMd"	"Kvadratmeter"	"KvadratmeterGrund"	"Byggeaar"	"Kvadratmeterpris"	"Postnummer"	"Hustype"	"FoerstUdbudt"	"SamletLiggetid"	"Solgt270"	"Solgt180"	"Solgt90"	"Solgt"
4	2280000	11840	117	228	1968	19487	2610	"Rakkehus"	2011-02-19	180	FALSE	FALSE	FALSE	FALSE
7	6250000	33608	157	797	1921	39808	2720	"Hus"	2011-02-20	44	FALSE	FALSE	FALSE	FALSE
5	2795000	15531	108	876	1966	25879	2610	"Hus"	2011-02-22	146	FALSE	FALSE	FALSE	FALSE
4	2370000	13563	99	790	1961	23939	2750	"Hus"	2011-02-22	117	TRUE	TRUE	FALSE	TRUE
3	2595000	13849	152	612	1816	17072	2750	"Hus"	2011-02-22	125	FALSE	FALSE	FALSE	FALSE
6	3250000	17420	133	752	1928	24436	2720	"Hus"	2011-02-23	415	FALSE	FALSE	FALSE	FALSE
4	2840000	15107	93	304	1943	30537	2610	"Rakkehus"	2011-02-23	23	TRUE	TRUE	TRUE	TRUE
6	2698000	14083	171	508	1923	15777	2610	"Rakkehus"	2011-02-23	625	FALSE	FALSE	FALSE	FALSE
3	2195000	11704	87	666	1950	25229	2610	"Hus"	2011-02-24	337	FALSE	FALSE	FALSE	FALSE
5	2495000	13938	144	705	1971	17326	2750	"Hus"	2011-02-24	480	FALSE	FALSE	FALSE	TRUE
7	3795000	20700	140	935	1929	27107	2720	"Hus"	2011-02-26	359	FALSE	FALSE	FALSE	FALSE
4	2750000	14840	113	630	1936	24336	2610	"Hus"	2011-02-26	116	TRUE	TRUE	FALSE	TRUE
4	2775000	14625	114	869	1969	24342	2610	"Hus"	2011-02-26	308	FALSE	FALSE	FALSE	TRUE
4	2795000	15654	111	744	1962	25180	2750	"Hus"	2011-02-26	40	TRUE	TRUE	TRUE	TRUE
3	1850000	11331	81	764	1960	22839	2750	"Hus"	2011-02-26	46	TRUE	TRUE	TRUE	TRUE
3	1895000	11174	106	801	1956	17877	2750	"Hus"	2011-02-27	290	FALSE	FALSE	FALSE	TRUE
5	3495000	20300	125	934	1934	27960	2720	"Hus"	2011-02-28	18	TRUE	TRUE	TRUE	TRUE
4	3450000	18589	142	721	1969	24295	2750	"Hus"	2011-03-02	57	FALSE	FALSE	FALSE	FALSE
5	2899000	15363	168	1043	1927	17255	2610	"Hus"	2011-03-03	432	FALSE	FALSE	FALSE	TRUE
5	1995000	11316	106	734	1943	18820	2610	"Hus"	2011-03-03	526	FALSE	FALSE	FALSE	FALSE
4	1750000	10072	93	162	1943	18817	2610	"Rakkehus"	2011-03-05	269	TRUE	FALSE	FALSE	TRUE
4	2095000	11258	94	204	1959	22287	2610	"Rakkehus"	2011-03-07	208	TRUE	FALSE	FALSE	TRUE
4	2695000	14151	112	163	2006	24062	2750	"Rakkehus"	2011-03-07	291	FALSE	FALSE	FALSE	TRUE
3	1765000	10800	80	612	1938	22062	2610	"Hus"	2011-03-08	54	TRUE	TRUE	TRUE	TRUE
5	3995000	21179	145	654	1970	27551	2750	"Hus"	2011-03-08	20	TRUE	TRUE	TRUE	TRUE
5	4195000	21820	192	710	1969	21848	2750	"Hus"	2011-03-09	606	FALSE	FALSE	FALSE	FALSE
4	2395000	11823	110	315	1953	21772	2610	"Rakkehus"	2011-03-10	137	TRUE	TRUE	FALSE	TRUE
1	595000	3631	35	73	1971	17000	2610	"Rakkehus"	2011-03-10	179	TRUE	TRUE	FALSE	TRUE
8	5995000	33175	176	749	1947	34062	2720	"Hus"	2011-03-11	57	TRUE	TRUE	TRUE	TRUE
4	1895000	11119	113	866	1963	16769	2610	"Hus"	2011-03-11	458	FALSE	FALSE	FALSE	TRUE
5	3499000	18294	126	497	1949	27769	2610	"Rakkehus"	2011-03-11	34	TRUE	TRUE	TRUE	TRUE
6	2798000	15445	125	479	1935	22384	2720	"Hus"	2011-03-12	381	FALSE	FALSE	FALSE	TRUE
3	1795000	10139	96	212	1946	18697	2720	"Hus"	2011-03-12	402	FALSE	FALSE	FALSE	TRUE
5	2795000	14895	135	916	1954	20703	2750	"Hus"	2011-03-12	550	FALSE	FALSE	FALSE	FALSE
4	3495000	18556	114	761	1934	30657	2720	"Hus"	2011-03-13	439	FALSE	FALSE	FALSE	TRUE
5	3295000	17557	136	648	1959	24227	2610	"Hus"	2011-03-13	108	FALSE	FALSE	FALSE	FALSE
4	2975000	15613	93	1008	1969	31989	2610	"Hus"	2011-03-13	586	FALSE	FALSE	FALSE	FALSE
4	1895000	10433	83	207	1959	22831	2610	"Rakkehus"	2011-03-13	213	FALSE	FALSE	FALSE	FALSE
4	1795000	10020	98	270	1964	18316	2610	"Rakkehus"	2011-03-14	89	TRUE	TRUE	TRUE	TRUE
5	1995000	11125	117	249	1955	17051	2610	"Rakkehus"	2011-03-14	177	TRUE	TRUE	FALSE	TRUE
4	2875000	16262	111	955	1936	25900	2610	"Hus"	2011-03-15	57	TRUE	TRUE	TRUE	TRUE
5	3395000	17317	133	551	1934	25526	2720	"Hus"	2011-03-16	118	FALSE	FALSE	FALSE	FALSE
6	3595000	18699	116	573	1935	30991	2720	"Hus"	2011-03-16	160	TRUE	TRUE	FALSE	TRUE
7	4495000	23274	141	620	1930	31879	2720	"Hus"	2011-03-16	267	TRUE	FALSE	FALSE	TRUE
5	5375000	27108	158	797	1921	34018	2720	"Hus"	2011-03-17	235	FALSE	FALSE	FALSE	FALSE
3	2995000	16207	95	444	1969	31526	2720	"Hus"	2011-03-17	323	FALSE	FALSE	FALSE	TRUE
7	3750000	20859	210	1038	1940	17857	2610	"Hus"	2011-03-17	20	FALSE	FALSE	FALSE	FALSE
4	1795000	10169	118	611	1935	15211	2610	"Hus"	2011-03-18	208	FALSE	FALSE	FALSE	FALSE
3	1995000	11134	84	799	1954	23750	2750	"Hus"	2011-03-18	224	TRUE	FALSE	FALSE	TRUE
4	2750000	14926	121	855	1957	22727	2750	"Hus"	2011-03-18	396	FALSE	FALSE	FALSE	TRUE
3	1444000	8934	63	905	1952	22920	2610	"Hus"	2011-03-19	90	TRUE	TRUE	TRUE	TRUE
5	3580000	18310	154	513	1964	23246	2610	"Rakkehus"	2011-03-19	62	TRUE	TRUE	TRUE	TRUE
4	2998000	17961	176	714	1926	17034	2720	"Hus"	2011-03-22	148	TRUE	TRUE	FALSE	TRUE
3	2695000	13113	72	1017	1939	37430	2610	"Hus"	2011-03-22	126	FALSE	FALSE	FALSE	FALSE
5	2599000	13328	99	707	1956	26252	2610	"Hus"	2011-03-22	140	TRUE	TRUE	FALSE	TRUE
5	2295000	11728	117	707	1953	19615	2610	"Hus"	2011-03-22	204	TRUE	FALSE	FALSE	TRUE
4	2500000	15337	106	1127	1963	23584	2750	"Hus"	2011-03-22	38	TRUE	TRUE	TRUE	TRUE
6	3750000	20498	207	994	1969	18115	2750	"Hus"	2011-03-22	205	FALSE	FALSE	FALSE	FALSE
6	3700000	20224	95	446	1928	38947	2720	"Hus"	2011-03-23	5	TRUE	TRUE	TRUE	TRUE
3	3195000	15962	80	1077	1942	39937	2750	"Hus"	2011-03-23	163	FALSE	FALSE	FALSE	FALSE
4	2995000	16355	128	753	1968	23398	2610	"Hus"	2011-03-24	84	TRUE	TRUE	TRUE	TRUE
4	1979000	10991	109	740	1969	18155	2610	"Hus"	2011-03-24	140	TRUE	TRUE	FALSE	TRUE
4	2375000	13809	127	177	1972	18700	2610	"Rakkehus"	2011-03-24	49	TRUE	TRUE	TRUE	TRUE
4	2795000	15643	132	788	1923	21174	2610	"Hus"	2011-03-25	77	TRUE	TRUE	TRUE	TRUE
4	3495000	17268	100	810	1964	34950	2750	"Hus"	2011-03-25	426	FALSE	FALSE	FALSE	FALSE
5	2100000	11959	120	972	1927	17500	2750	"Hus"	2011-03-25	488	FALSE	FALSE	FALSE	FALSE
3	2395000	12121	72	287	1977	33263	2610	"Hus"	2011-03-26	11	FALSE	FALSE	FALSE	FALSE
9	4295000	21809	193	551	1932	22253	2720	"Hus"	2011-03-27	301	FALSE	FALSE	FALSE	FALSE
4	2830000	15602	115	1190	1952	24608	2750	"Hus"	2011-03-28	233	TRUE	FALSE	FALSE	TRUE
3	2575000	14338	92	1008	1958	27989	2750	"Hus"	2011-03-28	255	FALSE	FALSE	FALSE	FALSE
4	2195000	11397	95	498	1978	23105	2610	"Rakkehus"	2011-03-29	244	FALSE	FALSE	FALSE	FALSE
3	2995000	17713	86	644	1924	34825	2720	"Hus"	2011-03-31	19	TRUE	TRUE	TRUE	TRUE
4	2150000	12369	78	577	1935	27564	2610	"Hus"	2011-03-31	122	TRUE	TRUE	FALSE	TRUE
5	2595000	13557	143	750	1951	18146	2610	"Hus"	2011-03-31	474	FALSE	FALSE	FALSE	FALSE
4	3495000	18995	114	231	1968	30657	2720	"Rakkehus"	2011-03-31	162	TRUE	TRUE	FALSE	TRUE
5	2500000	14184	111	716	1955	22522	2750	"Hus"	2011-04-01	25	TRUE	TRUE	TRUE	TRUE
3	2995000	15908	100	741	1934	29950	2720	"Hus"	2011-04-02	286	FALSE	FALSE	FALSE	TRUE
5	4495000	22983	123	538	1917	36544	2720	"Hus"	2011-04-02	348	FALSE	FALSE	FALSE	TRUE
6	2250000	12993	177	591	1939	12711	2720	"Hus"	2011-04-04	321	FALSE	FALSE	FALSE	FALSE
4	2349000	11666	104	733	1984	22586	2610	"Hus"	2011-04-04	158	TRUE	TRUE	FALSE	TRUE
5	2995000	15364	158	592	1935	18955	2610	"Hus"	2011-04-04	279	FALSE	FALSE	FALSE	TRUE
5	3095000	16992	144	916	1972	21493	2750	"Hus"	2011-04-04	314	FALSE	FALSE	FALSE	TRUE
5	2800000	14425	113	320	1962	24778	2610	"Rakkehus"	2011-04-04	4	TRUE	TRUE	TRUE	TRUE
3	2395000	13171	86	157	1992	27848	2750	"Rakkehus"	2011-04-04	93	TRUE	TRUE	FALSE	TRUE
6	3990000	19456	148	397	2011	26959	2720	"Hus"	2011-04-05	260	TRUE	FALSE	FALSE	TRUE
