"AntalVarelser"	"Udbudspris"	"NetPrMd"	"Kvadratmeter"	"KvadratmeterGrund"	"Byggeaar"	"Kvadratmeterpris"	"Postnummer"	"Hustype"	"FoerstUdbudt"	"SamletLiggetid"	"Solgt270"	"Solgt180"	"Solgt90"	"Solgt"
5	4250000	21939	176	701	1979	24147	2750	"Hus"	2011-05-19	167	FALSE	FALSE	FALSE	FALSE
4	2395000	12859	95	174	1981	25210	2610	"Rakkehus"	2011-05-19	19	TRUE	TRUE	TRUE	TRUE
5	3645000	19095	136	814	1930	26801	2610	"Hus"	2011-05-20	55	TRUE	TRUE	TRUE	TRUE
3	3495000	18388	116	600	1936	30129	2610	"Hus"	2011-05-20	152	TRUE	TRUE	FALSE	TRUE
4	2499000	12850	113	626	1936	22115	2610	"Hus"	2011-05-20	248	FALSE	FALSE	FALSE	FALSE
5	2650000	15166	153	720	1970	17320	2750	"Hus"	2011-05-20	67	FALSE	FALSE	FALSE	FALSE
4	3650000	18893	122	1028	1964	29918	2750	"Hus"	2011-05-20	201	FALSE	FALSE	FALSE	FALSE
5	1995000	12031	129	766	1937	15465	2610	"Hus"	2011-05-21	72	FALSE	FALSE	FALSE	FALSE
5	2395000	12138	110	400	1982	21772	2610	"Hus"	2011-05-21	212	TRUE	FALSE	FALSE	TRUE
3	1775000	9652	79	401	1954	22468	2610	"Rakkehus"	2011-05-21	144	TRUE	TRUE	FALSE	TRUE
4	1995000	10747	90	567	1959	22166	2610	"Hus"	2011-05-22	157	TRUE	TRUE	FALSE	TRUE
4	2999000	16103	128	853	1930	23429	2610	"Hus"	2011-05-24	181	TRUE	FALSE	FALSE	TRUE
5	2550000	14459	130	848	1960	19615	2750	"Hus"	2011-05-24	71	TRUE	TRUE	TRUE	TRUE
3	4250000	23114	96	861	1936	44270	2720	"Hus"	2011-05-25	82	FALSE	FALSE	FALSE	FALSE
5	3249000	17712	183	1033	1964	17754	2610	"Hus"	2011-05-25	27	TRUE	TRUE	TRUE	TRUE
4	2795000	15184	97	510	1938	28814	2610	"Hus"	2011-05-25	175	FALSE	FALSE	FALSE	FALSE
5	3595000	18368	145	1030	1970	24793	2750	"Hus"	2011-05-25	188	FALSE	FALSE	FALSE	FALSE
5	3095000	16583	167	740	1972	18532	2750	"Hus"	2011-05-25	286	FALSE	FALSE	FALSE	FALSE
4	1995000	10403	94	211	1959	21223	2610	"Rakkehus"	2011-05-25	505	FALSE	FALSE	FALSE	FALSE
4	3350000	17345	134	700	1977	25000	2750	"Hus"	2011-05-26	138	TRUE	TRUE	FALSE	TRUE
5	4995000	23830	211	947	1966	23672	2750	"Hus"	2011-05-26	204	FALSE	FALSE	FALSE	FALSE
4	2995000	15933	94	168	1946	31861	2720	"Rakkehus"	2011-05-26	28	TRUE	TRUE	TRUE	TRUE
2	1650000	9908	51	373	1940	32352	2720	"Hus"	2011-05-27	114	FALSE	FALSE	FALSE	FALSE
4	2800000	14688	104	641	1953	26923	2610	"Hus"	2011-05-28	191	TRUE	FALSE	FALSE	TRUE
4	2695000	14751	128	352	2003	21054	2720	"Hus"	2011-05-29	197	TRUE	FALSE	FALSE	TRUE
5	4950000	24834	131	851	1927	37786	2720	"Hus"	2011-05-29	302	FALSE	FALSE	FALSE	TRUE
4	2195000	12212	92	840	1954	23858	2750	"Hus"	2011-05-29	274	FALSE	FALSE	FALSE	TRUE
4	2495000	14443	75	643	1928	33266	2720	"Hus"	2011-05-30	177	FALSE	FALSE	FALSE	FALSE
5	3495000	17923	161	768	1933	21708	2610	"Hus"	2011-05-30	256	TRUE	FALSE	FALSE	TRUE
6	2295000	12497	158	735	1944	14525	2610	"Hus"	2011-05-31	238	TRUE	FALSE	FALSE	TRUE
4	2649000	13548	102	264	1954	25970	2610	"Rakkehus"	2011-06-01	26	FALSE	FALSE	FALSE	FALSE
5	2475000	12578	98	263	1964	25255	2610	"Rakkehus"	2011-06-01	190	TRUE	FALSE	FALSE	TRUE
4	2400000	12617	95	400	1978	25263	2610	"Hus"	2011-06-03	49	TRUE	TRUE	TRUE	TRUE
3	3195000	17077	140	728	1960	22821	2610	"Hus"	2011-06-03	72	TRUE	TRUE	TRUE	TRUE
5	3150000	16956	140	721	1969	22500	2750	"Hus"	2011-06-03	164	FALSE	FALSE	FALSE	FALSE
5	2095000	11162	113	277	1956	18539	2610	"Rakkehus"	2011-06-03	326	FALSE	FALSE	FALSE	TRUE
6	4095000	21402	146	964	1952	28047	2720	"Hus"	2011-06-04	246	TRUE	FALSE	FALSE	TRUE
4	2495000	13472	105	810	1955	23761	2610	"Hus"	2011-06-04	170	TRUE	TRUE	FALSE	TRUE
6	3175000	16086	158	721	1964	20094	2750	"Hus"	2011-06-06	232	FALSE	FALSE	FALSE	FALSE
5	2895000	14979	116	291	1932	24956	2720	"Hus"	2011-06-07	255	TRUE	FALSE	FALSE	TRUE
6	3995000	20677	140	818	1930	28535	2720	"Hus"	2011-06-08	169	TRUE	TRUE	FALSE	TRUE
2	2295000	13351	60	220	1944	38250	2720	"Rakkehus"	2011-06-08	56	TRUE	TRUE	TRUE	TRUE
4	1999000	11486	109	710	1956	18339	2610	"Hus"	2011-06-10	108	TRUE	TRUE	FALSE	TRUE
3	2550000	13648	76	868	1955	33552	2610	"Hus"	2011-06-10	178	TRUE	TRUE	FALSE	TRUE
4	3248000	16102	102	725	1936	31843	2610	"Hus"	2011-06-10	518	FALSE	FALSE	FALSE	FALSE
6	4195000	22210	187	608	1907	22433	2720	"Hus"	2011-06-11	167	TRUE	TRUE	FALSE	TRUE
5	4499999	24188	169	723	1937	26627	2720	"Hus"	2011-06-11	217	TRUE	FALSE	FALSE	TRUE
4	2890000	15156	139	799	1969	20791	2610	"Hus"	2011-06-11	136	TRUE	TRUE	FALSE	TRUE
4	2495000	12311	101	376	1985	24702	2610	"Hus"	2011-06-11	213	TRUE	FALSE	FALSE	TRUE
4	2195000	11889	107	375	1971	20514	2750	"Hus"	2011-06-11	124	TRUE	TRUE	FALSE	TRUE
4	2095000	11647	122	780	1952	17172	2610	"Hus"	2011-06-12	452	FALSE	FALSE	FALSE	TRUE
4	2585000	13768	111	788	1936	23288	2610	"Hus"	2011-06-13	101	TRUE	TRUE	FALSE	TRUE
5	3050000	16572	145	850	1969	21034	2750	"Hus"	2011-06-13	278	FALSE	FALSE	FALSE	TRUE
4	2425000	12215	95	292	1960	25526	2750	"Rakkehus"	2011-06-13	197	FALSE	FALSE	FALSE	FALSE
4	2650000	14460	93	670	1955	28494	2610	"Hus"	2011-06-15	103	TRUE	TRUE	FALSE	TRUE
6	4695000	24565	101	786	1952	46485	2720	"Hus"	2011-06-17	75	TRUE	TRUE	TRUE	TRUE
5	3295000	16843	131	791	1928	25152	2610	"Hus"	2011-06-17	238	TRUE	FALSE	FALSE	TRUE
5	2995000	16937	135	721	1968	22185	2750	"Hus"	2011-06-17	23	TRUE	TRUE	TRUE	TRUE
4	2995000	17813	158	1249	1970	18955	2750	"Hus"	2011-06-17	276	FALSE	FALSE	FALSE	TRUE
4	2595000	13969	109	629	1954	23807	2610	"Rakkehus"	2011-06-19	18	TRUE	TRUE	TRUE	TRUE
3	1695000	9475	80	236	1957	21187	2610	"Rakkehus"	2011-06-19	115	TRUE	TRUE	FALSE	TRUE
3	1895000	9332	86	350	1966	22034	2750	"Rakkehus"	2011-06-19	330	FALSE	FALSE	FALSE	FALSE
6	4795000	24196	152	746	1928	31546	2720	"Hus"	2011-06-20	266	TRUE	FALSE	FALSE	TRUE
3	4299000	21860	155	932	1943	27735	2610	"Hus"	2011-06-20	29	TRUE	TRUE	TRUE	TRUE
6	3195000	16525	136	651	1938	23492	2610	"Hus"	2011-06-21	52	TRUE	TRUE	TRUE	TRUE
6	3895000	20992	154	216	1924	25292	2720	"Rakkehus"	2011-06-21	10	TRUE	TRUE	TRUE	TRUE
4	2675000	13764	108	153	2006	24768	2750	"Rakkehus"	2011-06-21	171	FALSE	FALSE	FALSE	FALSE
5	5250000	26539	161	900	1944	32608	2720	"Hus"	2011-06-22	142	FALSE	FALSE	FALSE	FALSE
6	3198000	17776	169	797	1958	18923	2610	"Hus"	2011-06-22	49	TRUE	TRUE	TRUE	TRUE
5	2295000	12659	145	800	1964	15827	2750	"Hus"	2011-06-23	505	FALSE	FALSE	FALSE	FALSE
4	2825000	14318	105	261	2012	26904	2610	"Rakkehus"	2011-06-23	151	FALSE	FALSE	FALSE	FALSE
4	2925000	14810	109	275	2012	26834	2610	"Rakkehus"	2011-06-23	151	FALSE	FALSE	FALSE	FALSE
4	1995000	10475	84	259	1962	23750	2610	"Rakkehus"	2011-06-23	158	FALSE	FALSE	FALSE	FALSE
4	2825000	13941	103	259	2012	27427	2610	"Rakkehus"	2011-06-24	504	FALSE	FALSE	FALSE	FALSE
4	2775000	11082	100	252	2012	27750	2610	"Rakkehus"	2011-06-24	504	FALSE	FALSE	FALSE	FALSE
6	4649000	23796	140	630	1931	33207	2720	"Hus"	2011-06-25	145	TRUE	TRUE	FALSE	TRUE
4	2499000	13731	153	602	1969	16333	2610	"Hus"	2011-06-25	52	TRUE	TRUE	TRUE	TRUE
9	3499000	18166	194	788	1922	18036	2610	"Hus"	2011-06-25	122	TRUE	TRUE	FALSE	TRUE
4	3495000	17664	103	371	1922	33932	2720	"Hus"	2011-06-26	142	FALSE	FALSE	FALSE	FALSE
5	2495000	12698	119	700	1933	20966	2610	"Hus"	2011-06-28	444	FALSE	FALSE	FALSE	FALSE
4	3850000	18649	99	650	1939	38888	2610	"Hus"	2011-06-29	152	TRUE	TRUE	FALSE	TRUE
3	2895000	15170	117	721	1968	24743	2750	"Hus"	2011-06-29	499	FALSE	FALSE	FALSE	FALSE
5	2795000	15567	104	207	1944	26875	2720	"Hus"	2011-06-30	9	TRUE	TRUE	TRUE	TRUE
6	5695000	28056	149	654	1917	38221	2720	"Hus"	2011-06-30	267	TRUE	FALSE	FALSE	TRUE
8	4195000	21493	188	399	1934	22313	2720	"Hus"	2011-06-30	376	FALSE	FALSE	FALSE	FALSE
5	3995000	20202	147	703	1970	27176	2750	"Hus"	2011-06-30	308	FALSE	FALSE	FALSE	TRUE
5	3995000	20997	134	679	1967	29813	2720	"Hus"	2011-07-01	82	TRUE	TRUE	TRUE	TRUE
4	2695000	14505	149	825	1972	18087	2610	"Hus"	2011-07-01	247	TRUE	FALSE	FALSE	TRUE
4	3550000	18222	108	369	1943	32870	2720	"Hus"	2011-07-02	122	TRUE	TRUE	FALSE	TRUE
7	4250000	21852	174	626	1939	24425	2720	"Hus"	2011-07-02	482	FALSE	FALSE	FALSE	FALSE
4	2850000	14421	105	266	2012	27142	2610	"Rakkehus"	2011-07-02	142	FALSE	FALSE	FALSE	FALSE
5	1999000	9743	118	159	1979	16940	2610	"Rakkehus"	2011-07-02	220	TRUE	FALSE	FALSE	TRUE
5	4495000	20540	186	627	2011	24166	2610	"Hus"	2011-07-03	225	TRUE	FALSE	FALSE	TRUE
5	2500000	14726	143	950	1976	17482	2750	"Hus"	2011-07-03	240	TRUE	FALSE	FALSE	TRUE
3	2845000	12986	113	323	2012	25176	2610	"Rakkehus"	2011-07-03	87	FALSE	FALSE	FALSE	FALSE
4	2875000	14648	103	270	2012	27912	2610	"Rakkehus"	2011-07-03	253	FALSE	FALSE	FALSE	FALSE
4	2999000	15379	111	346	2012	27018	2610	"Rakkehus"	2011-07-03	253	FALSE	FALSE	FALSE	FALSE
4	2695000	13238	93	244	2012	28978	2610	"Rakkehus"	2011-07-03	495	FALSE	FALSE	FALSE	FALSE
4	2950000	14442	109	288	2012	27064	2610	"Rakkehus"	2011-07-03	495	FALSE	FALSE	FALSE	FALSE
3	2345000	12490	91	644	1936	25769	2610	"Hus"	2011-07-06	209	FALSE	FALSE	FALSE	FALSE
4	3745000	19935	193	897	1971	19404	2750	"Hus"	2011-07-06	251	TRUE	FALSE	FALSE	TRUE
5	2595000	14284	115	207	1971	22565	2610	"Rakkehus"	2011-07-07	284	FALSE	FALSE	FALSE	TRUE
5	2995000	15753	120	743	1934	24958	2610	"Hus"	2011-07-08	13	TRUE	TRUE	TRUE	TRUE
6	3395000	16097	166	670	1953	20451	2610	"Hus"	2011-07-08	466	FALSE	FALSE	FALSE	FALSE
4	2995000	14795	98	275	1930	30561	2720	"Hus"	2011-07-09	374	FALSE	FALSE	FALSE	FALSE
3	2898000	14729	94	200	2003	30829	2610	"Hus"	2011-07-09	188	TRUE	FALSE	FALSE	TRUE
5	3595000	18124	138	739	1927	26050	2610	"Hus"	2011-07-09	201	TRUE	FALSE	FALSE	TRUE
5	3095000	15578	96	150	1946	32239	2720	"Rakkehus"	2011-07-09	269	TRUE	FALSE	FALSE	TRUE
4	2195000	12199	80	497	1949	27437	2610	"Hus"	2011-07-10	18	TRUE	TRUE	TRUE	TRUE
4	2195000	12104	91	595	1942	24120	2610	"Hus"	2011-07-13	32	TRUE	TRUE	TRUE	TRUE
4	2995000	16614	93	526	1938	32204	2720	"Hus"	2011-07-14	160	FALSE	FALSE	FALSE	FALSE
4	1900000	10512	94	220	1959	20212	2610	"Rakkehus"	2011-07-14	76	TRUE	TRUE	TRUE	TRUE
4	2395000	13325	148	798	1962	16182	2610	"Hus"	2011-07-15	228	TRUE	FALSE	FALSE	TRUE
3	3495000	18572	85	495	1934	41117	2720	"Hus"	2011-07-16	42	TRUE	TRUE	TRUE	TRUE
4	2550000	13856	116	242	1985	21982	2610	"Rakkehus"	2011-07-16	174	TRUE	TRUE	FALSE	TRUE
6	3195000	16010	124	442	1938	25766	2720	"Hus"	2011-07-17	353	FALSE	FALSE	FALSE	TRUE
3	2899000	14717	69	809	1939	42014	2610	"Hus"	2011-07-17	44	TRUE	TRUE	TRUE	TRUE
4	2645000	13609	113	586	1932	23407	2610	"Hus"	2011-07-17	74	TRUE	TRUE	TRUE	TRUE
4	1495000	8751	95	644	1961	15736	2610	"Hus"	2011-07-17	179	TRUE	TRUE	FALSE	TRUE
7	2775000	15149	198	707	1959	14015	2610	"Hus"	2011-07-17	368	FALSE	FALSE	FALSE	TRUE
4	2995000	15634	85	379	1938	35235	2720	"Rakkehus"	2011-07-17	67	TRUE	TRUE	TRUE	TRUE
4	2899000	14544	109	306	1971	26596	2610	"Rakkehus"	2011-07-17	85	FALSE	FALSE	FALSE	FALSE
6	3850000	19842	118	472	1952	32627	2720	"Hus"	2011-07-18	39	TRUE	TRUE	TRUE	TRUE
3	2095000	12029	68	570	1925	30808	2720	"Hus"	2011-07-19	363	FALSE	FALSE	FALSE	TRUE
6	3495000	17841	165	700	1979	21181	2750	"Hus"	2011-07-19	259	FALSE	FALSE	FALSE	FALSE
5	2350000	12977	90	1275	1940	26111	2750	"Hus"	2011-07-21	403	FALSE	FALSE	FALSE	FALSE
6	4495000	22647	160	539	1983	28093	2720	"Hus"	2011-07-24	192	TRUE	FALSE	FALSE	TRUE
3	1695000	10026	80	236	1957	21187	2610	"Rakkehus"	2011-07-24	170	TRUE	TRUE	FALSE	TRUE
3	1795000	4318	80	236	1957	22437	2610	"Rakkehus"	2011-07-24	171	TRUE	TRUE	FALSE	TRUE
4	1975000	9885	102	353	1990	19362	2610	"Hus"	2011-07-25	373	FALSE	FALSE	FALSE	FALSE
4	1795000	10772	96	754	1940	18697	2610	"Hus"	2011-07-26	43	TRUE	TRUE	TRUE	TRUE
5	2895000	14421	116	804	1980	24956	2610	"Rakkehus"	2011-07-26	34	FALSE	FALSE	FALSE	FALSE
5	2345000	12288	95	315	1937	24684	2610	"Rakkehus"	2011-07-26	221	TRUE	FALSE	FALSE	TRUE
3	2495000	15171	57	713	1937	43771	2720	"Hus"	2011-07-27	14	TRUE	TRUE	TRUE	TRUE
6	4695000	23850	150	630	1914	31300	2720	"Hus"	2011-07-31	198	TRUE	FALSE	FALSE	TRUE
4	2195000	11749	98	674	1962	22397	2610	"Hus"	2011-07-31	122	TRUE	TRUE	FALSE	TRUE
4	1995000	10988	104	250	1976	19182	2610	"Rakkehus"	2011-08-02	64	FALSE	FALSE	FALSE	FALSE
3	2395000	12638	106	177	1980	22594	2610	"Rakkehus"	2011-08-02	400	FALSE	FALSE	FALSE	FALSE
4	2195000	13594	98	244	1962	22397	2610	"Rakkehus"	2011-08-03	91	FALSE	FALSE	FALSE	FALSE
5	4499000	22476	135	975	1969	33325	2610	"Hus"	2011-08-04	116	TRUE	TRUE	FALSE	TRUE
5	3195000	15611	119	111	1994	26848	2610	"Hus"	2011-08-04	209	TRUE	FALSE	FALSE	TRUE
3	1999000	11287	125	753	1960	15992	2610	"Hus"	2011-08-04	463	FALSE	FALSE	FALSE	FALSE
3	2935000	14869	78	654	1938	37628	2610	"Hus"	2011-08-06	65	FALSE	FALSE	FALSE	FALSE
4	2199000	11368	92	391	1960	23902	2610	"Rakkehus"	2011-08-06	43	TRUE	TRUE	TRUE	TRUE
4	1995000	11226	120	671	1959	16625	2610	"Hus"	2011-08-07	59	TRUE	TRUE	TRUE	TRUE
4	2995000	14892	123	718	1931	24349	2610	"Hus"	2011-08-07	296	FALSE	FALSE	FALSE	TRUE
4	3800000	17870	173	696	1934	21965	2610	"Hus"	2011-08-07	460	FALSE	FALSE	FALSE	FALSE
7	5270000	25404	190	570	1935	27736	2720	"Hus"	2011-08-08	459	FALSE	FALSE	FALSE	FALSE
4	2699000	14398	95	699	1952	28410	2610	"Hus"	2011-08-09	167	FALSE	FALSE	FALSE	FALSE
3	2675000	13628	84	650	1965	31845	2610	"Hus"	2011-08-09	169	FALSE	FALSE	FALSE	FALSE
4	2995000	15641	128	819	1938	23398	2610	"Hus"	2011-08-09	406	FALSE	FALSE	FALSE	TRUE
6	2745000	14944	135	588	1936	20333	2610	"Hus"	2011-08-10	246	TRUE	FALSE	FALSE	TRUE
5	4695000	22626	150	635	1988	31300	2720	"Hus"	2011-08-11	335	FALSE	FALSE	FALSE	FALSE
8	5390000	25932	214	775	1940	25186	2610	"Hus"	2011-08-12	29	FALSE	FALSE	FALSE	FALSE
6	4295000	22218	230	1148	1968	18673	2750	"Hus"	2011-08-12	178	FALSE	FALSE	FALSE	FALSE
6	4475000	22887	130	721	1925	34423	2720	"Hus"	2011-08-13	19	TRUE	TRUE	TRUE	TRUE
4	3175000	17273	86	561	1931	36918	2720	"Hus"	2011-08-13	254	FALSE	FALSE	FALSE	FALSE
4	3550000	17966	144	721	1974	24652	2750	"Hus"	2011-08-13	33	TRUE	TRUE	TRUE	TRUE
6	3995000	21187	156	532	1939	25608	2720	"Hus"	2011-08-14	111	TRUE	TRUE	FALSE	TRUE
3	1995000	10977	93	616	1953	21451	2610	"Hus"	2011-08-14	26	FALSE	FALSE	FALSE	FALSE
2	2395000	12343	77	720	1967	31103	2610	"Hus"	2011-08-14	46	TRUE	TRUE	TRUE	TRUE
4	1495000	9231	99	629	1940	15101	2610	"Hus"	2011-08-16	218	TRUE	FALSE	FALSE	TRUE
5	2995000	16293	153	700	1969	19575	2750	"Hus"	2011-08-18	412	FALSE	FALSE	FALSE	FALSE
4	3499000	17675	128	367	1961	27335	2610	"Rakkehus"	2011-08-19	67	TRUE	TRUE	TRUE	TRUE
4	1895000	11269	131	396	1930	14465	2720	"Hus"	2011-08-20	54	TRUE	TRUE	TRUE	TRUE
3	2750000	14380	75	782	1936	36666	2610	"Hus"	2011-08-20	216	FALSE	FALSE	FALSE	FALSE
4	1995000	11649	147	777	1980	13571	2750	"Hus"	2011-08-20	30	TRUE	TRUE	TRUE	TRUE
2	1995000	11890	60	600	1931	33250	2720	"Hus"	2011-08-21	74	TRUE	TRUE	TRUE	TRUE
3	2798000	16551	113	801	1930	24761	2720	"Hus"	2011-08-21	115	TRUE	TRUE	FALSE	TRUE
4	2795000	14798	108	780	1957	25879	2610	"Hus"	2011-08-21	68	TRUE	TRUE	TRUE	TRUE
4	2795000	14498	99	539	1904	28232	2720	"Hus"	2011-08-25	179	FALSE	FALSE	FALSE	FALSE
4	2395000	12816	96	810	1961	24947	2610	"Hus"	2011-08-25	186	TRUE	FALSE	FALSE	TRUE
5	2725000	13085	118	400	1986	23093	2610	"Hus"	2011-08-25	257	FALSE	FALSE	FALSE	FALSE
5	3595000	18513	188	753	1965	19122	2750	"Hus"	2011-08-25	288	FALSE	FALSE	FALSE	TRUE
6	4995000	23530	166	581	1922	30090	2720	"Hus"	2011-08-26	389	FALSE	FALSE	FALSE	FALSE
4	3995000	20741	107	693	1938	37336	2720	"Hus"	2011-08-27	26	TRUE	TRUE	TRUE	TRUE
4	2298000	12384	99	309	1919	23212	2720	"Hus"	2011-08-28	439	FALSE	FALSE	FALSE	FALSE
5	3750000	21319	127	745	1938	29527	2720	"Hus"	2011-08-29	11	TRUE	TRUE	TRUE	TRUE
4	4295000	23272	147	603	1967	29217	2720	"Hus"	2011-08-30	240	TRUE	FALSE	FALSE	TRUE
4	2395000	12377	91	703	1959	26318	2610	"Hus"	2011-08-30	218	FALSE	FALSE	FALSE	FALSE
4	2795000	15395	117	933	1976	23888	2610	"Hus"	2011-08-31	44	TRUE	TRUE	TRUE	TRUE
5	3750000	18640	134	650	1928	27985	2610	"Hus"	2011-08-31	153	TRUE	TRUE	FALSE	TRUE
5	3995000	18967	175	817	1958	22828	2610	"Hus"	2011-09-02	159	FALSE	FALSE	FALSE	FALSE
4	1980000	12032	102	968	1962	19411	2750	"Hus"	2011-09-02	27	FALSE	FALSE	FALSE	FALSE
4	2475000	12910	93	213	1943	26612	2610	"Rakkehus"	2011-09-02	108	TRUE	TRUE	FALSE	TRUE
4	1898000	10079	101	199	1963	18792	2610	"Rakkehus"	2011-09-02	280	FALSE	FALSE	FALSE	TRUE
4	2300000	13301	100	476	1933	23000	2720	"Hus"	2011-09-03	67	TRUE	TRUE	TRUE	TRUE
4	2895000	14983	135	789	1938	21444	2610	"Hus"	2011-09-03	137	FALSE	FALSE	FALSE	FALSE
5	3595000	18235	139	760	2000	25863	2750	"Hus"	2011-09-03	190	FALSE	FALSE	FALSE	FALSE
4	3595000	18444	138	792	1966	26050	2750	"Hus"	2011-09-04	54	FALSE	FALSE	FALSE	FALSE
5	2150000	12340	128	701	1964	16796	2750	"Hus"	2011-09-04	432	FALSE	FALSE	FALSE	FALSE
4	2495000	13373	94	689	1939	26542	2610	"Hus"	2011-09-06	174	FALSE	FALSE	FALSE	FALSE
5	3495000	17557	137	718	1936	25510	2610	"Hus"	2011-09-06	771	FALSE	FALSE	FALSE	FALSE
4	3295000	17931	100	765	1935	32950	2720	"Hus"	2011-09-07	36	TRUE	TRUE	TRUE	TRUE
4	3595000	17838	108	721	1972	33287	2750	"Hus"	2011-09-07	342	FALSE	FALSE	FALSE	FALSE
5	2895000	14686	122	205	1948	23729	2610	"Rakkehus"	2011-09-07	62	TRUE	TRUE	TRUE	TRUE
5	3495000	17582	100	171	1958	34950	2720	"Hus"	2011-09-08	106	TRUE	TRUE	FALSE	TRUE
4	1899000	10480	85	667	1957	22341	2610	"Hus"	2011-09-08	105	FALSE	FALSE	FALSE	FALSE
4	2495000	12597	128	652	1939	19492	2610	"Hus"	2011-09-08	168	FALSE	FALSE	FALSE	FALSE
4	2795000	13665	106	192	1968	26367	2610	"Rakkehus"	2011-09-09	223	FALSE	FALSE	FALSE	FALSE
4	1995000	10896	95	783	1933	21000	2610	"Hus"	2011-09-10	80	TRUE	TRUE	TRUE	TRUE
5	3295000	16989	141	741	1941	23368	2610	"Hus"	2011-09-13	132	TRUE	TRUE	FALSE	TRUE
8	4990000	24003	170	431	1929	29352	2720	"Hus"	2011-09-14	19	FALSE	FALSE	FALSE	FALSE
4	2195000	12148	112	764	1963	19598	2750	"Hus"	2011-09-14	210	TRUE	FALSE	FALSE	TRUE
1	495000	3262	35	74	1971	14142	2610	"Rakkehus"	2011-09-15	68	TRUE	TRUE	TRUE	TRUE
3	2395000	14534	83	681	1942	28855	2720	"Hus"	2011-09-17	147	TRUE	TRUE	FALSE	TRUE
4	3250000	16745	131	689	1928	24809	2610	"Hus"	2011-09-17	61	TRUE	TRUE	TRUE	TRUE
2	2300000	14505	184	609	1933	12500	2610	"Hus"	2011-09-17	262	FALSE	FALSE	FALSE	FALSE
4	1975000	11218	100	890	1957	19750	2610	"Hus"	2011-09-18	187	FALSE	FALSE	FALSE	FALSE
5	3995000	20482	98	691	1934	40765	2720	"Hus"	2011-09-19	176	FALSE	FALSE	FALSE	FALSE
4	2395000	13015	112	701	1967	21383	2610	"Hus"	2011-09-19	24	TRUE	TRUE	TRUE	TRUE
4	4200000	21049	98	657	1938	42857	2720	"Hus"	2011-09-20	214	FALSE	FALSE	FALSE	FALSE
4	1995000	11373	110	832	1955	18136	2610	"Hus"	2011-09-20	162	TRUE	TRUE	FALSE	TRUE
5	2299000	11992	94	281	1957	24457	2610	"Rakkehus"	2011-09-20	7	TRUE	TRUE	TRUE	TRUE
9	5695000	26598	196	703	1910	29056	2720	"Hus"	2011-09-21	316	FALSE	FALSE	FALSE	TRUE
5	2200000	12223	140	723	1967	15714	2750	"Hus"	2011-09-22	104	TRUE	TRUE	FALSE	TRUE
5	2998000	15910	141	855	1966	21262	2610	"Hus"	2011-09-23	167	FALSE	FALSE	FALSE	FALSE
4	3750000	19545	108	226	1968	34722	2720	"Rakkehus"	2011-09-24	49	TRUE	TRUE	TRUE	TRUE
3	3750000	19597	90	445	1938	41666	2720	"Hus"	2011-09-28	218	TRUE	FALSE	FALSE	TRUE
3	1585000	9265	92	773	1958	17228	2610	"Hus"	2011-09-28	251	TRUE	FALSE	FALSE	TRUE
5	1895000	10641	97	666	1939	19536	2610	"Hus"	2011-09-30	182	TRUE	FALSE	FALSE	TRUE
4	2799998	14816	95	386	1938	29473	2720	"Hus"	2011-10-01	405	FALSE	FALSE	FALSE	FALSE
5	1700000	11315	126	1000	1936	13492	2750	"Hus"	2011-10-04	170	TRUE	TRUE	FALSE	TRUE
4	2245000	12036	118	160	1989	19025	2750	"Rakkehus"	2011-10-04	181	FALSE	FALSE	FALSE	FALSE
4	3895000	20289	111	840	1935	35090	2720	"Hus"	2011-10-05	96	FALSE	FALSE	FALSE	FALSE
4	2995000	15693	96	949	1960	31197	2610	"Hus"	2011-10-05	176	TRUE	TRUE	FALSE	TRUE
7	4200000	20081	220	742	1940	19090	2610	"Hus"	2011-10-06	711	FALSE	FALSE	FALSE	FALSE
5	1695000	9392	115	315	1955	14739	2610	"Rakkehus"	2011-10-06	228	TRUE	FALSE	FALSE	TRUE
4	2875000	15517	134	715	1968	21455	2750	"Hus"	2011-10-07	339	FALSE	FALSE	FALSE	FALSE
5	2295000	12374	114	552	1967	20131	2610	"Hus"	2011-10-08	25	TRUE	TRUE	TRUE	TRUE
3	2795000	15339	125	728	1966	22360	2750	"Hus"	2011-10-08	81	TRUE	TRUE	TRUE	TRUE
1	2995000	15586	129	706	1959	23217	2610	"Hus"	2011-10-12	15	FALSE	FALSE	FALSE	FALSE
4	2395000	12904	104	796	1964	23028	2610	"Hus"	2011-10-12	40	TRUE	TRUE	TRUE	TRUE
8	3495000	17964	176	725	1970	19857	2750	"Hus"	2011-10-16	692	FALSE	FALSE	FALSE	FALSE
6	3195000	15031	122	729	1936	26188	2610	"Hus"	2011-10-17	98	TRUE	TRUE	FALSE	TRUE
3	2795000	15618	100	697	1928	27950	2720	"Hus"	2011-10-19	168	TRUE	TRUE	FALSE	TRUE
4	2795000	14352	110	587	1956	25409	2610	"Hus"	2011-10-19	258	TRUE	FALSE	FALSE	TRUE
4	1825000	9978	90	376	1943	20277	2610	"Rakkehus"	2011-10-20	88	TRUE	TRUE	TRUE	TRUE
6	2995000	17104	174	1450	1969	17212	2750	"Hus"	2011-10-21	161	FALSE	FALSE	FALSE	FALSE
4	2195000	9807	130	738	1907	16884	2720	"Hus"	2011-10-23	54	FALSE	FALSE	FALSE	FALSE
